Mot;Occurrence;Mot_nettoye;Cluster
exists;5;exist;0
advanced;1;advanced;0
cancer;57;cancer;0
ill;5;ill;0
built;1;built;0
bridge;2;bridge;0
trust;9;trust;0
suffer;1;suffer;0
romance;5;romance;0
dying;4;dying;0
heroes;1;heroes;0
whine;1;whin;0
poor;2;poor;0
kept;5;kept;0
facing;3;facing;0
imminent;3;imminent;0
motivation;10;motivation;0
emboldened;1;emboldened;0
knowledge;1;knowledge;0
allowing;1;allowing;0
generate;1;generate;0
hypothesis;2;hypothesis;0
represented;1;represented;0
nature;45;nature;0
reflection;3;reflection;0
darker;1;darker;0
impulses;1;impulse;0
theme;1;theme;0
teenage;1;teenage;0
drawings;3;drawing;0
comics;3;comic;0
draw;2;draw;0
account;1;account;0
stew;13;stew;0
investor;1;investor;0
creative;1;creativ;0
differences;2;difference;0
earlier;1;earlier;0
motive;7;motiv;0
merchandising;4;merchandising;0
deserved;3;deserved;0
concept;10;concept;0
lied;4;lied;0
triangle;7;triangle;0
hooked;1;hooked;0
dude;2;dud;0
chamber;1;chamber;0
odontoid;1;odontoid;0
c2;10;;0
chipping;1;chipping;0
deltoid;1;deltoid;0
humerus;1;humerus;0
microtome;2;microtome;0
paraffin;1;paraffin;0
embedding;1;embedding;0
prep;1;prep;0
slide;3;slid;0
sample;2;sample;0
fragment;32;fragment;0
attack;6;attack;0
during;4;during;0
struck;4;struck;0
breath;2;breath;0
whistles;1;whistles;0
breathing;1;breathing;0
dissipates;1;dissipate;0
static;1;static;0
electricity;1;electricity;0
artistic;2;artistic;0
recluse;1;reclus;0
thumb;1;thumb;0
pies;1;pie;0
reminded;1;reminded;0
hid;1;hid;0
immersing;1;immersing;0
concerned;2;concerned;0
superpower;1;superpower;0
analyzing;3;analyzing;0
deposited;1;deposited;0
favoring;2;favoring;0
noticed;5;noticed;0
phase;10;phase;0
payroll;1;payroll;0
digging;2;digging;0
apologize;4;apologize;0
inconvenience;2;inconvenience;0
technical;1;technical;0
mrs;2;mrs;0
held;2;held;0
viewed;1;viewed;0
context;1;context;0
ribs;4;rib;0
cracked;3;cracked;0
favor;8;favor;0
fell;5;fell;0
lanes;2;lane;0
slippery;1;slippery;0
falling;6;falling;0
bruise;1;bruis;0
fist;1;fist;0
empty;5;empty;0
buster;2;buster;0
liberty;1;liberty;0
beats;2;beat;0
leap;1;leap;0
spending;1;spending;0
compliment;9;complimer;0
histology;1;histology;0
chip;15;chip;0
caucasian;4;caucasian;0
specific;3;specific;0
trouble;11;trouble;0
reverse;3;reverse;0
engineer;2;engineer;0
mark;20;mark;0
obvious;1;obvious;0
olympic;1;olympic;0
boxer;2;boxer;0
graduated;1;graduated;0
harvard;8;harvard;0
spoke;3;spoke;0
languages;2;language;0
fictional;1;fictional;0
corkscrew;1;corkscrew;0
tibetan;2;tibetan;0
foreign;1;foreign;0
boomerang;2;boomerang;0
sonic;1;sonic;0
laser;21;laser;0
cutlass;1;cutlass;0
walls;3;walls;0
drabber;1;drabber;0
banal;14;banal;0
confront;2;confront;0
arsenal;2;arsenal;0
sided;2;sided;0
throwing;3;throwing;0
returns;2;returns;0
warned;3;warned;0
developing;2;developing;0
grounded;1;grounded;0
drab;1;drab;0
hero;3;hero;0
suddenly;1;suddenly;0
damsel;2;damsel;0
distress;2;distres;0
matters;1;matter;0
appealed;1;appealed;0
difference;4;difference;0
dispatch;4;dispatch;0
unit;5;unir;0
residence;1;residence;0
reports;2;report;0
domicile;7;domicil;0
negative;1;negativ;0
inside;5;insid;0
flight;9;flight;0
affirmative;1;affirmatif;0
takes;4;taker;0
spousal;1;spousal;0
abuse;2;abus;0
syndrome;22;syndrome;0
seboldt;2;seboldt;0
quietly;1;quietly;0
disturbances;1;disturbance;0
beat;9;beat;0
cavalry;1;cavalry;0
rescuers;1;rescuer;0
alert;1;alert;0
ed;56;ed;0
swear;1;swear;0
loves;3;love;0
weaker;1;weaker;0
closed;1;closed;0
unlocked;1;unlocked;0
oversight;1;oversight;0
panic;1;panic;0
suspected;3;suspected;0
robbery;1;robbery;0
bevel;4;bevel;0
triangular;1;triangular;0
holes;2;hole;0
smack;2;smack;0
sake;2;sak;0
handed;6;handed;0
wound;7;wound;0
aw;4;aw;0
opened;1;opened;0
beater;1;beater;0
kills;4;kill;0
strain;1;strain;0
temper;2;temper;0
intimidate;3;intimidat;0
attacking;3;attacking;0
virginia;17;virginia;0
plates;6;plate;0
crossed;1;crossed;0
gang;61;gang;0
member;7;member;0
rico;2;rico;0
reestablish;1;reestablish;0
improving;1;improving;0
relationships;2;relationship;0
fair;6;fair;0
appreciate;4;appreciate;0
effort;9;effort;0
recreated;1;recreated;0
undocumented;3;undocumented;0
mara;20;mara;0
muerte;18;muerte;0
tattoo;2;tattoo;0
gangs;14;gang;0
chauffeuring;1;chauffeuring;0
join;1;join;0
inspection;3;inspection;0
dug;3;dug;0
hands;8;hand;0
analyze;2;analyze;0
compare;11;comparer;0
shovel;3;shovel;0
sabes;2;sabe;0
adónde;2;adónde;0
estaba;2;estaba;0
enterrada;2;enterrada;0
ignoring;2;ignoring;0
nearest;1;nearest;0
cemetery;2;cemetery;0
holy;2;holy;0
rood;2;rood;0
disculpen;2;disculpen;0
podrían;2;podrían;0
ayudar;2;ayudar;0
queremos;2;queremo;0
saber;2;saber;0
hay;5;hay;0
cementerio;2;cementerio;0
por;6;por;0
aquí;4;aquí;0
señora;4;señorer;0
sabemos;2;sabemos;0
nada;9;nada;0
spanish;1;spanish;0
rusty;1;rusty;0
decomp;2;decomp;0
insect;1;insect;0
volatile;1;volatil;0
fatty;1;fatty;0
putrefaction;1;putrefaction;0
typically;3;typically;0
gravediggers;1;gravedigger;0
necrophiliacs;1;necrophiliacs;0
action;22;action;0
ew;2;ew;0
dental;1;dental;0
exam;3;exam;0
shoveled;1;shoveled;0
striated;1;striated;0
indicating;3;indicating;0
malnutrition;5;malnutrition;0
anthropometrics;2;anthropometric;0
central;10;central;0
salvadoran;4;salvadoran;0
pikeville;2;pikeville;0
tennessee;3;tennesse;0
sketch;3;sketch;0
expert;64;expert;0
religious;2;religiou;0
iconography;1;iconography;0
rosary;4;rosary;0
depression;1;depression;0
straddling;1;straddling;0
lambdoidal;1;lambdoidal;0
suture;21;suture;0
baseball;27;baseball;0
bat;16;;0
casket;1;casket;0
proper;1;proper;0
burial;3;burial;0
headstone;1;headstone;0
miguel;2;miguel;0
villeda;2;villeda;0
warlord;1;warlord;0
venganza;2;venganzer;0
roja;2;rojer;0
picking;3;picking;0
muerteespuma;2;muerteespuma;0
extortion;2;extortion;0
drugs;6;drug;0
assault;6;assault;0
awhile;2;awhile;0
cranky;1;cranky;0
mira;2;mira;0
gavacho;2;gavacho;0
scare;2;scare;0
staring;1;staring;0
rth;1;rth;0
tt;1;tt;0
innocent;30;innocent;0
bystanders;1;bystander;0
aim;2;aim;0
deck;1;deck;0
gangbanger;6;gangbanger;0
authority;1;authority;0
escape;2;escape;0
pregnant;11;pregner;0
burlap;2;burlap;0
organic;2;organic;0
compounds;1;compound;0
plant;10;pler;0
root;1;root;0
fertilizer;1;fertilizer;0
fernaldiapandurata;1;fernaldiapandurata;0
loroco;8;loroco;0
buds;2;bud;0
edible;1;edibl;0
flowering;2;flowering;0
native;6;natif;0
el;19;el;0
salvador;23;salvador;0
grown;3;grown;0
vegetable;2;vegetabl;0
gardens;2;garden;0
cemeteries;1;cemeterie;0
garden;8;garden;0
loco;2;loco;0
distinctive;11;distinctif;0
glance;1;glance;0
vegetation;1;vegetation;0
extras;1;extra;0
suit;14;;0
coming;7;coming;0
barrio;1;barrio;0
cool;68;cool;0
guns;1;gun;0
bankrupts;1;bankrupts;0
itself;2;itself;0
tax;2;tax;0
rich;2;rich;0
training;1;training;0
educational;1;educational;0
resources;1;resource;0
health;2;health;0
manage;2;manage;0
land;2;land;0
minimum;17;minimum;0
wage;1;wage;0
hike;1;hike;0
legally;1;legally;0
worse;4;wors;0
npr;2;npr;0
approximate;2;approximate;0
maturity;1;maturity;0
yielded;1;yielded;0
adipocere;2;adipocere;0
forms;2;forms;0
moisture;1;moistur;0
trogid;1;trogid;0
beetles;2;beetle;0
decomposing;1;decomposing;0
freshly;1;freshly;0
overturned;1;overturned;0
pile;14;pile;0
development;1;developmer;0
excavated;1;excavated;0
construction;23;construction;0
interrupted;1;interrupted;0
moving;3;moving;0
buries;1;burie;0
gunshot;3;gunshot;0
nope;3;nope;0
whirring;1;whirring;0
answers;4;answer;0
localized;1;localized;0
staining;1;staining;0
endocranial;1;endocranial;0
subdural;7;subdural;0
hematoma;1;hematoma;0
internal;2;internal;0
bleeding;1;bleeding;0
instantaneous;1;instantaneou;0
conscious;2;consciou;0
remodeling;2;remodeling;0
patterning;1;patterning;0
ectocranial;1;ectocranial;0
cooperate;1;cooperate;0
nicely;1;nicely;0
coworkers;2;coworker;0
sarcasm;2;sarcasm;0
lend;2;lend;0
spodoptera;2;spodopterer;0
ornithogalli;2;ornithogalli;0
tetranychus;2;tetranychus;0
urticae;2;urticae;0
notonectidae;3;notonectidae;0
corixidae;2;corixidae;0
aquatic;1;aquatic;0
fauna;1;fauna;0
ponds;2;pond;0
streams;2;stream;0
kicker;1;kicker;0
franklinia;4;franklinia;0
alatamaha;4;alatamaher;0
shock;3;shock;0
franky;2;franky;0
alabama;3;alabama;0
rare;26;rare;0
wild;2;wild;0
specialized;1;specialized;0
botanical;2;botanical;0
senator;15;senator;0
alan;6;alan;0
corman;12;corman;0
gift;1;gift;0
senators;1;senator;0
white;17;white;0
backswimmers;2;backswimmer;0
water;14;water;0
boatmen;2;boatmen;0
colors;1;colors;0
shotgun;3;shotgun;0
society;7;society;0
niceties;1;nicetie;0
longer;2;longer;0
observed;2;observed;0
unaccounted;3;unaccounted;0
walking;2;walking;0
theories;1;theorie;0
puzzle;6;puzzle;0
puzzles;4;puzzle;0
relaxing;5;relaxing;0
finished;5;finished;0
anatomy;1;anatomy;0
lesson;1;lesson;0
rembrandt;2;rembrandt;0
restore;1;restor;0
vintage;2;vintage;0
cars;2;car;0
supporter;10;supporter;0
leaders;1;leader;0
supporting;1;supporting;0
repressive;1;repressive;0
regimes;1;regime;0
squads;7;squad;0
silence;26;silence;0
opposition;5;opposition;0
flee;1;flee;0
focus;3;focus;0
link;1;link;0
salvadorans;1;salvadoran;0
official;5;official;0
formed;1;formed;0
bond;25;bond;0
sponsored;1;sponsored;0
citizenship;2;citizenship;0
screening;1;screening;0
members;6;member;0
anti;19;anti;0
socialist;1;socialist;0
property;3;property;0
employ;1;employ;0
either;10;either;0
aliens;32;alien;0
hiring;2;hiring;0
managing;1;managing;0
trespass;1;trespas;0
cultivating;1;cultivating;0
privately;1;privately;0
pond;4;pondre;0
shrubs;1;shrub;0
guest;4;guest;0
logan;27;logan;0
guests;1;guest;0
studying;1;studying;0
landscape;1;landscape;0
georgetown;7;georgetown;0
likes;4;like;0
supervise;3;supervis;0
men;5;men;0
associate;1;associate;0
hector;33;hector;0
ben;74;ben;0
hablamos;2;hablamos;0
para;3;para;0
tú;2;tú;0
sigan;2;sigan;0
trabajando;2;trabajando;0
ahora;2;ahora;0
vuelvo;2;vuelvo;0
josé;32;josé;0
gardener;3;gardener;0
vargas;2;varga;0
usted;2;usted;0
estado;2;estado;0
plantando;2;plantando;0
recientemente;2;recientement;0
ahí;2;ahí;0
presta;2;presta;0
una;2;una;0
pala;2;pala;0
gracias;6;gracia;0
puparial;1;puparial;0
casings;2;casing;0
tineid;1;tineid;0
moths;1;moth;0
puts;3;put;0
shaped;1;shaped;0
pelvic;2;pelvic;0
inlet;1;inlet;0
projections;6;projection;0
rib;3;rib;0
hispanic;1;hispanic;0
origins;1;origin;0
reassembled;1;reassembled;0
carving;4;carving;0
center;3;center;0
archetypal;1;archetypal;0
symbol;1;symbol;0
chaparrastique;2;chaparrastiqu;0
volcano;1;volcano;0
erupted;1;erupted;0
village;10;village;0
milagro;4;milagro;0
paz;4;paz;0
southeast;2;southeast;0
identifying;3;identifying;0
smile;2;smile;0
hopeful;2;hopeful;0
bullet;17;bullet;0
steel;1;steel;0
copper;1;copper;0
jacket;2;jacket;0
issue;12;issue;0
kinds;1;kind;0
wind;3;wind;0
alguien;2;alguien;0
tiene;2;tiene;0
tener;2;tener;0
miedo;2;miedo;0
bottle;1;bottle;0
warm;1;warm;0
prepared;2;prepared;0
hiding;2;hiding;0
learned;2;learned;0
closet;1;closet;0
ay;2;ay;0
cop;6;cop;0
yo;12;yo;0
sé;2;sé;0
hice;2;hice;0
deported;6;deported;0
frightened;1;frightened;0
terror;1;terror;0
intimidation;5;intimidation;0
add;1;add;0
acting;1;acting;0
hole;3;hole;0
sternal;7;sternal;0
foramen;7;foramen;0
seemed;2;seemed;0
meaningless;1;meaningless;0
hereditary;1;hereditary;0
related;2;related;0
ages;1;age;0
reburied;2;reburied;0
cops;3;cops;0
murky;1;murky;0
ooh;22;ooh;0
catches;2;catch;0
joins;1;join;0
seeking;1;seeking;0
revenge;2;revenge;0
preceded;1;preceded;0
healing;1;healing;0
healed;1;healed;0
bastard;3;bastard;0
metastatic;1;metastatic;0
carcinoma;1;carcinoma;0
originating;1;originating;0
prostate;7;prostate;0
survives;1;survive;0
mega;1;mega;0
gotten;4;gotten;0
mushy;1;mushy;0
uncomfortable;1;uncomfortabl;0
roberto;3;roberto;0
ortez;10;orter;0
convinced;1;convinced;0
possession;18;possession;0
promised;4;promised;0
dunno;1;dunno;0
beef;4;beef;0
sisters;1;sister;0
collapsed;1;collapsed;0
lung;1;lung;0
shoulder;1;shoulder;0
dislocated;1;dislocated;0
geez;2;geez;0
wishihad;1;wishihad;0
immigrant;3;immigrer;0
transporting;1;transporting;0
suspicion;5;suspicion;0
murdering;2;murdering;0
burying;1;burying;0
joking;1;joking;0
keeping;2;keeping;0
natural;3;natural;0
jose;9;jose;0
trip;6;trip;0
explaining;1;explaining;0
duarte;6;duarte;0
augustin;3;augustin;0
hated;3;hated;0
approve;4;approve;0
associations;3;association;0
murderous;1;murderou;0
threatened;1;threatened;0
chapter;1;chapter;0
throwaway;1;throwaway;0
subordinado;2;subordinado;0
retraso;1;retraso;0
adorin;1;adorin;0
deep;6;deep;0
sigh;1;sigh;0
button;2;button;0
handle;9;handl;0
bitch;3;bitch;0
self;4;self;0
reliance;1;reliance;0
battles;1;battle;0
therapy;2;therapy;0
upset;3;upset;0
dealt;1;dealt;0
gangbangers;1;gangbanger;0
italy;1;italy;0
tent;1;tent;0
grave;39;grave;0
sites;15;site;0
soldier;7;soldier;0
guard;1;guard;0
tossed;4;tossed;0
floor;1;floor;0
toss;2;tos;0
wood;22;wood;0
interrupting;1;interrupting;0
quarter;4;quarter;0
sawn;2;sawn;0
cumuru;8;cumuru;0
expensive;2;expensiv;0
furniture;1;furnitur;0
senatorially;1;senatorially;0
maid;2;maid;0
papers;3;paper;0
supplied;2;supplied;0
friendly;1;friendly;0
expected;4;expected;0
forged;1;forged;0
besides;1;beside;0
rather;6;rather;0
lovers;3;lover;0
bed;7;bed;0
curu;2;curu;0
banged;1;banged;0
skin;2;skin;0
dancing;1;dancing;0
hallway;1;hallway;0
advise;3;advis;0
answering;1;answering;0
officially;4;officially;0
illegally;2;illegally;0
proof;2;proof;0
middle;8;middle;0
leaves;4;leave;0
servants;1;servant;0
feels;2;feel;0
mess;3;mes;0
fractured;3;fractured;0
bedpost;2;bedpost;0
foot;25;foot;0
santiago;2;santiago;0
king;24;king;0
seven;4;seven;0
posts;1;post;0
assuming;2;assuming;0
relative;2;;0
heights;2;height;0
angle;57;angle;0
connects;1;connect;0
below;2;below;0
assailant;1;assailer;0
box;16;box;0
explains;1;explain;0
striking;2;striking;0
manner;1;manner;0
schematic;3;schematic;0
pounds;5;pound;0
inch;4;inch;0
fallen;1;fallen;0
height;5;height;0
yanked;1;yanked;0
ladder;7;ladder;0
explained;4;explained;0
yank;1;yank;0
protecting;1;protecting;0
asylum;1;asylum;0
joined;1;joined;0
promise;8;promis;0
ruined;1;ruined;0
pushed;3;pushed;0
maids;1;maid;0
ladders;1;ladder;0
handled;1;handled;0
pulling;3;pulling;0
reaching;2;reaching;0
refusing;1;refusing;0
trained;3;trained;0
kinesiology;1;kinesiology;0
study;1;study;0
movement;1;movement;0
asks;1;asks;0
defied;1;defied;0
drove;5;drove;0
alvarado;2;alvarado;0
placing;1;placing;0
manslaughter;1;manslaughter;0
task;1;task;0
señor;5;señor;0
acepta;1;acepta;0
tus;3;taire;0
brazos;1;brazo;0
las;12;las;0
almas;1;almer;0
hijos;1;hijos;0
devotos;1;devoto;0
maría;2;maría;0
augustín;2;augustín;0
espíritu;1;espíritu;0
santo;1;santo;0
ilumine;1;ilumin;0
dándoles;1;dándole;0
bienvenida;1;bienvenida;0
amor;1;amor;0
padre;1;padr;0
nuestro;2;nuestro;0
estás;1;está;0
cielos;1;cielos;0
santificado;1;santificado;0
véngase;1;véngase;0
reino;1;reino;0
hágase;1;hágase;0
voluntad;1;voluntad;0
tierra;2;tierrer;0
como;1;como;0
cielo;1;cielo;0
danos;1;dano;0
hoy;1;hoy;0
pan;20;pan;0
cada;1;cada;0
día;1;día;0
perdona;1;perdoner;0
nuestras;1;nuestra;0
ofensas;1;ofenser;0
funeral;4;funeral;0
ese;2;ese;0
cocking;1;cocking;0
duty;1;duty;0
grow;2;grow;0
rosa;3;roser;0
lo;4;lo;0
regresamos;2;regresamos;0
alguna;2;alguna;0
manera;2;manera;0
late;4;late;0
faa;19;faa;0
ntsb;11;ntsb;0
handles;1;handle;0
plane;23;plane;0
stands;3;stand;0
aviation;4;aviation;0
administration;10;administration;0
transportation;2;transportation;0
safety;2;safety;0
row;1;row;0
ignores;3;ignore;0
acknowledging;1;acknowledging;0
ian;45;ian;0
dyson;2;dyson;0
jet;7;jet;0
passengers;1;passenger;0
horizontal;2;horizontal;0
stabilizer;1;stabilizer;0
norfolk;3;norfolk;0
yeager;2;yeager;0
charleston;6;charleston;0
tracked;1;tracked;0
dropped;2;dropped;0
radar;5;radar;0
screen;1;screen;0
emergency;1;emergency;0
clipped;1;clipped;0
slammed;1;slammed;0
intact;8;intact;0
elite;2;elite;0
vips;1;vip;0
offended;1;offended;0
mediates;1;mediate;0
interpersonal;2;interpersonal;0
encounters;2;encounter;0
skulls;2;skull;0
mediate;1;mediate;0
pilot;4;pilot;0
copilot;3;copilot;0
brings;2;bring;0
partial;3;partial;0
fragmented;1;fragmented;0
crisp;1;crisp;0
dermis;1;dermis;0
indications;13;indication;0
burst;1;burst;0
lower;1;lower;0
thoracic;1;thoracic;0
lumbar;1;lumbar;0
vertical;3;vertical;0
aircraft;1;aircraft;0
paying;2;paying;0
charring;1;charring;0
crash;18;crash;0
odds;1;odd;0
crashing;1;crashing;0
philosophically;1;philosophically;0
opposed;1;opposed;0
institutional;1;institutional;0
secrecy;1;secrecy;0
communist;5;communist;0
chinese;12;chinese;0
attaches;2;attache;0
crashed;1;crashed;0
ranking;1;ranking;0
manifest;2;manifest;0
businessman;1;businessman;0
carry;3;carry;0
luggage;1;luggage;0
untouched;1;untouched;0
anxious;1;anxious;0
sixth;2;sixth;0
incident;11;incident;0
therefore;2;therefore;0
disagree;2;disagree;0
received;1;received;0
secretary;1;secretary;0
unidentified;1;unidentified;0
passenger;3;passenger;0
politics;1;politic;0
foremost;1;foremost;0
kablooey;1;kablooey;0
interested;2;interested;0
vertebra;3;vertebrer;0
hacked;2;hacked;0
medium;2;medium;0
pga;2;pger;0
misses;1;misse;0
bonding;2;bonding;0
ritual;3;ritual;0
nicer;1;nicer;0
shooting;4;shooting;0
lunch;4;lunch;0
visitor;1;visitor;0
jesse;42;jess;0
laws;1;laws;0
investigative;1;investigativ;0
techniques;11;technique;0
interagency;1;interagency;0
cooperation;1;cooperation;0
jurisdictional;1;jurisdictional;0
dispute;36;dispute;0
derives;1;derive;0
cottage;2;cottage;0
beach;16;beach;0
investigations;8;investigation;0
conclude;1;conclude;0
disposed;1;disposed;0
foul;3;foul;0
bungled;2;bungled;0
manpower;1;manpower;0
trooper;1;trooper;0
suggested;1;suggested;0
investigator;1;investigator;0
cigarettes;5;cigarette;0
ends;2;end;0
renting;1;renting;0
snorkeling;1;snorkeling;0
guam;2;guam;0
parent;20;parer;0
jot;1;jot;0
whose;1;whose;0
simply;5;simply;0
vanished;1;vanished;0
roughly;1;roughly;0
chatter;2;chatter;0
discuss;2;discus;0
ongoing;2;ongoing;0
candidate;1;candidat;0
eliminate;2;eliminate;0
whereabouts;1;whereabout;0
pushy;2;pushy;0
hawking;1;hawking;0
geopolitics;1;geopolitic;0
budget;5;budget;0
progress;1;progres;0
fill;3;fill;0
nasal;3;nasal;0
ridges;1;ridge;0
inches;3;inche;0
epiphysial;1;epiphysial;0
fusion;14;fusion;0
theory;4;theory;0
unregistered;1;unregistered;0
attendant;26;attendre;0
powered;2;powered;0
politicos;1;politico;0
entertainment;1;entertainment;0
supra;5;supra;0
orbital;4;orbital;0
margin;1;margin;0
rounded;1;rounded;0
osteophitic;1;osteophitic;0
lipping;1;lipping;0
polish;1;polish;0
arthritis;1;arthritis;0
aged;2;aged;0
weathering;1;weathering;0
discoloration;1;discoloration;0
defy;2;defy;0
rebel;2;rebel;0
construct;1;construct;0
shard;2;shard;0
useless;1;useles;0
conclusive;1;conclusif;0
decades;1;decade;0
centuries;1;centurie;0
living;7;living;0
disappearance;7;disappearance;0
motivating;1;motivating;0
rights;3;right;0
becoming;1;becoming;0
byproduct;1;byproduct;0
goal;2;goal;0
loss;3;loss;0
ridge;5;ridge;0
indentations;3;indentation;0
jagged;2;jagged;0
machine;54;machine;0
jigsaw;1;jigsaw;0
chain;5;chain;0
clears;1;clears;0
throat;5;throat;0
diplomats;1;diplomat;0
wielding;1;wielding;0
droll;1;droll;0
discussing;2;discussing;0
literal;1;literal;0
pattern;12;pattern;0
blades;4;blade;0
circular;1;circular;0
elliptical;1;elliptical;0
segmented;1;segmented;0
saws;1;saw;0
speed;2;speed;0
create;1;create;0
wave;2;wave;0
organized;4;organized;0
linear;1;linear;0
massacre;3;massacre;0
fascinating;5;fascinating;0
reassemble;1;reassembl;0
scattered;2;scattered;0
eliminated;1;eliminated;0
scary;1;scary;0
trusting;1;trusting;0
karen;40;karen;0
anderson;12;anderson;0
alibi;48;alibi;0
joint;13;joindre;0
accounts;3;account;0
max;143;max;0
stockbroker;1;stockbroker;0
millions;56;million;0
courts;6;court;0
siphoned;1;siphoned;0
subtle;1;subtle;0
language;3;language;0
sweat;4;sweat;0
tonal;2;tonal;0
shifty;1;shifty;0
poking;6;poking;0
tasked;1;tasked;0
possibility;2;possibility;0
altogether;1;altogether;0
forma;1;former;0
accuses;1;accuse;0
dared;1;dared;0
harder;1;harder;0
psst;2;psst;0
dimples;1;dimple;0
sad;1;sad;0
melancholy;1;melancholy;0
mission;23;mission;0
beloved;1;beloved;0
rift;1;rift;0
financially;2;financially;0
lazy;1;lazy;0
york;22;york;0
hack;1;hack;0
heidel;4;heidel;0
postmortem;2;postmortem;0
freezing;1;freezing;0
midwinter;1;midwinter;0
queasy;1;queasy;0
frozen;9;frozen;0
dismembered;3;dismembered;0
fed;5;fed;0
chipper;20;chipper;0
spread;3;spread;0
loudly;1;loudly;0
whisper;1;whisper;0
authorize;1;authorize;0
priorities;2;prioritie;0
suspend;1;suspendre;0
defying;1;defying;0
spirit;2;spirit;0
waste;1;waste;0
enrolled;1;enrolled;0
nyu;1;nyu;0
clubbing;1;clubbing;0
disappointment;1;disappointmer;0
imagined;1;imagined;0
figured;2;figured;0
manufacturer;2;manufacturer;0
comparing;3;comparing;0
star;34;star;0
grill;5;grill;0
meat;1;meat;0
loaf;1;loaf;0
pier;1;pier;0
waited;1;waited;0
reporting;1;reporting;0
timeline;1;timeline;0
hopeless;1;hopeles;0
copy;1;copy;0
hire;1;hir;0
investigators;2;investigators;0
rat;54;rat;0
trusted;1;trusted;0
authorities;4;authoritie;0
rooms;1;room;0
filled;2;filled;0
files;4;file;0
warehouses;1;warehouse;0
cue;1;cue;0
kiss;2;kiss;0
hooking;1;hooking;0
arrange;8;arrange;0
hovering;1;hovering;0
wingman;1;wingman;0
rendering;1;rendering;0
assistance;7;assistance;0
captain;1;captain;0
jacob;3;jacob;0
howard;89;howard;0
weight;4;weight;0
overlay;1;overlay;0
frontal;39;frontal;0
zygomatic;1;zygomatic;0
sutures;4;suture;0
menengies;1;menengie;0
synch;9;synch;0
shenru;2;shenru;0
fong;4;fong;0
terrific;1;terrific;0
energies;1;energie;0
honest;6;honest;0
toxicology;1;toxicology;0
nationals;1;national;0
elevated;1;elevated;0
alcohol;2;alcohol;0
sildenafil;2;sildenafil;0
viagra;4;viagra;0
cocaine;1;cocaine;0
cover;3;cover;0
regarding;1;regarding;0
shards;1;shard;0
taller;1;taller;0
occupational;2;occupational;0
stress;19;stress;0
fetishist;1;fetishist;0
cuboid;1;cuboid;0
medial;1;medial;0
malleolus;1;malleolus;0
wore;1;wore;0
stiletto;1;stiletto;0
heels;1;heel;0
ads;1;ads;0
overly;1;overly;0
enthusiastic;1;enthusiastic;0
update;3;update;0
continues;4;continu;0
clear;6;clear;0
mantis;4;mantis;0
subpoenaed;1;subpoenaed;0
fromhe;1;fromhe;0
traced;2;traced;0
equipment;2;equipmer;0
yard;13;yard;0
residue;1;residue;0
confusing;1;confusing;0
scientific;2;scientific;0
past;6;past;0
maintenance;11;maintenance;0
foreman;1;foreman;0
worker;4;worker;0
sparks;21;spark;0
ejected;1;ejected;0
matching;2;matching;0
test;66;test;0
solid;1;solid;0
zach;24;zach;0
helping;2;helping;0
pursuit;1;pursuit;0
president;1;presider;0
inquiry;2;inquiry;0
morphology;1;morphology;0
identical;1;identical;0
pulverized;1;pulverized;0
liars;1;liar;0
enter;1;enter;0
drunk;1;drunk;0
disorderly;1;disorderly;0
bartends;1;bartend;0
strike;2;strike;0
golfer;2;golfer;0
across;2;acros;0
creek;25;creek;0
clubhouse;2;clubhouse;0
sticking;1;sticking;0
frank;62;frank;0
suspicions;3;suspicion;0
aroused;1;aroused;0
southampton;2;southampton;0
correctional;1;correctional;0
skipping;1;skipping;0
dui;2;dui;0
experiment;2;experimer;0
connected;2;connected;0
primary;1;primary;0
failing;1;failing;0
fool;2;fool;0
fooled;1;fooled;0
planned;1;planned;0
administrative;1;administratif;0
punish;1;punish;0
dining;1;dining;0
privileges;1;privilege;0
reviews;1;reviews;0
egoless;1;egoless;0
balanced;1;balanced;0
ruled;1;ruled;0
vindictive;1;vindictiv;0
petty;2;petty;0
jail;3;jail;0
acted;1;acted;0
lecture;11;lecture;0
simplest;2;simplest;0
disowned;1;disowned;0
realizes;1;realize;0
remarry;1;remarry;0
inheritance;2;inheritance;0
accusing;1;accusing;0
menéndez;1;menénder;0
brothers;2;brother;0
declared;1;declared;0
spends;1;spend;0
accusation;28;accusation;0
typical;2;typical;0
poke;2;poke;0
prod;1;prod;0
reactions;1;reaction;0
treat;3;treat;0
satellite;10;satellite;0
dots;1;dot;0
indicates;3;indicate;0
maximum;11;maximum;0
distance;38;distance;0
origin;1;origin;0
traveled;1;traveled;0
speeds;1;speeds;0
ambient;1;ambient;0
temperatures;1;temperature;0
irrelevant;1;irrelever;0
order;2;order;0
grinding;1;grinding;0
bet;3;bet;0
aimed;2;aimed;0
stream;1;stream;0
wash;1;wash;0
road;4;road;0
vehicles;1;vehicle;0
geisha;2;geisha;0
solving;1;solving;0
searching;2;searching;0
amazingly;1;amazingly;0
underneath;1;underneath;0
polyurethane;2;polyurethane;0
scraping;1;scraping;0
osteoids;1;osteoid;0
thick;1;thick;0
mandible;1;mandible;0
cellular;1;cellular;0
nonmalignant;2;nonmalignant;0
recent;1;recer;0
scans;14;scans;0
locals;2;local;0
rs;1;rs;0
